Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,MonthlyIncome,DistanceFromHome,YearsAtCompany,YearsInCurrentRole,TotalWorkingYears,NumCompaniesWorked,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,StockOptionLevel,TrainingTimesLastYear,PercentSalaryHike,Attrition
41,Male,Married,Research & Development,Research Scientist,Human Resources,3,3528,1,5,3,18,0,Travel_Frequently,4,2,2,3,No,1,3,11,No
34,Male,Divorced,Research & Development,Research Director,Medical,3,14591,9,0,0,11,1,Travel_Rarely,1,4,2,3,No,1,6,18,No
37,Male,Single,Research & Development,Laboratory Technician,Life Sciences,1,2883,1,8,0,17,0,Travel_Frequently,4,4,3,3,No,0,3,11,No
49,Female,Divorced,Research & Development,Research Scientist,Other,2,3832,10,3,0,38,1,Travel_Rarely,2,3,3,3,No,1,1,11,No
36,Male,Married,Research & Development,Research Scientist,Technical Degree,3,3127,17,2,2,12,2,Travel_Rarely,2,1,3,3,No,0,1,16,No
35,Male,Single,Sales,Manager,Life Sciences,1,15740,2,0,0,13,4,Travel_Rarely,1,2,2,3,No,3,3,16,No
37,Male,Married,Research & Development,Research Director,Medical,4,17124,1,10,3,14,3,Travel_Rarely,1,4,3,3,No,3,3,17,No
46,Male,Divorced,Research & Development,Research Scientist,Other,1,4549,7,3,1,22,2,Travel_Rarely,1,2,3,3,No,1,3,11,No
60,Male,Single,Research & Development,Research Scientist,Marketing,2,4187,10,8,0,39,6,Travel_Rarely,3,4,2,3,Yes,0,3,17,No
30,Female,Married,Research & Development,Research Director,Medical,2,15776,3,9,2,9,6,Travel_Rarely,1,3,1,3,No,0,1,15,No
36,Female,Single,Research & Development,Research Director,Technical Degree,4,16248,4,0,0,16,1,Travel_Rarely,3,4,2,3,Yes,0,1,14,No
35,Female,Married,Research & Development,Research Scientist,Marketing,3,6548,6,8,0,11,1,Non-Travel,4,4,3,3,No,1,2,11,No
37,Male,Married,Research & Development,Laboratory Technician,Medical,4,2439,7,0,0,18,4,Travel_Rarely,4,2,4,4,Yes,0,1,16,No
32,Male,Married,Sales,Sales Representative,Marketing,3,3409,9,9,0,12,4,Travel_Rarely,4,2,4,4,No,1,3,17,No
40,Female,Married,Research & Development,Research Director,Human Resources,1,15283,5,2,1,18,4,Travel_Rarely,1,3,3,4,No,0,3,15,No
39,Female,Divorced,Human Resources,Manager,Human Resources,4,13691,2,0,0,16,3,Travel_Rarely,1,3,1,3,Yes,1,4,19,No
39,Male,Married,Sales,Sales Executive,Life Sciences,3,6875,27,1,1,18,6,Travel_Rarely,1,2,2,3,No,0,2,13,No
22,Female,Divorced,Sales,Sales Executive,Life Sciences,4,7164,23,3,0,3,0,Travel_Rarely,4,4,2,3,No,3,4,14,No
24,Male,Single,Research & Development,Laboratory Technician,Life Sciences,2,3910,2,1,1,1,1,Travel_Rarely,3,4,3,4,No,1,2,20,Yes
33,Female,Married,Research & Development,Laboratory Technician,Life Sciences,4,3689,1,3,2,16,4,Travel_Rarely,3,4,3,3,No,0,1,15,No
37,Female,Married,Research & Development,Manufacturing Director,Medical,4,9421,2,1,0,19,1,Travel_Rarely,2,2,3,3,Yes,1,1,14,Yes
43,Female,Single,Sales,Manager,Medical,3,15756,11,13,2,24,1,Travel_Rarely,3,2,2,3,Yes,0,2,11,No
60,Female,Married,Research & Development,Research Scientist,Medical,3,4394,7,2,1,37,5,Travel_Rarely,1,2,2,3,No,0,2,15,No
28,Female,Married,Research & Development,Laboratory Technician,Medical,4,2986,10,1,1,13,1,Travel_Rarely,3,2,2,3,No,1,2,20,Yes
46,Male,Married,Sales,Sales Representative,Other,3,2781,11,3,1,23,5,Travel_Rarely,1,4,3,3,Yes,1,1,16,No
